,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
B6_raw_H,-0.0,0.001,-0.001,0.001,0.0,0.0,135998.0,141720.0,1.0
log_gamma_mu,-2.938,0.202,-3.316,-2.56,0.001,0.0,116533.0,122461.0,1.0
gamma_raw[0],-0.936,0.241,-1.406,-0.499,0.001,0.001,110293.0,98185.0,1.0
gamma_raw[1],1.149,0.281,0.652,1.69,0.001,0.001,91080.0,76743.0,1.0
gamma_raw[2],1.129,0.284,0.613,1.663,0.001,0.001,93520.0,66001.0,1.0
gamma_raw[3],1.126,0.29,0.607,1.682,0.001,0.001,99058.0,73105.0,1.0
gamma_raw[4],-1.801,0.332,-2.46,-1.223,0.001,0.001,93769.0,99268.0,1.0
gamma_raw[5],-2.014,0.39,-2.748,-1.31,0.001,0.002,88798.0,78688.0,1.0
gamma_raw[6],-2.046,0.654,-3.243,-1.026,0.002,0.003,125623.0,131155.0,1.0
g_factor_scaled,72.573,0.088,72.407,72.736,0.0,0.0,131110.0,113987.0,1.0
a_raw_H,8.691,0.075,8.547,8.829,0.0,0.0,131845.0,126664.0,1.0
B4_raw_H,0.01,0.021,0.0,0.044,0.0,0.0,125709.0,117332.0,1.0
eps_bg_scaled,234.629,0.148,234.368,234.921,0.0,0.0,139409.0,132865.0,1.0
log_gamma_sd,0.899,0.098,0.717,1.082,0.002,0.0,3775.0,8871.0,1.01
a_scale_scaled,88.648,0.769,87.179,90.061,0.002,0.001,131845.0,126664.0,1.0
B4_scaled,14.945,22.09,0.024,73.253,0.064,0.075,124922.0,117332.0,1.0
B6_scaled,-0.061,13.081,-24.456,24.425,0.035,0.024,136002.0,141720.0,1.0
gamma_vec[0],0.023,0.001,0.022,0.024,0.0,0.0,143205.0,141784.0,1.0
gamma_vec[1],0.147,0.007,0.133,0.16,0.0,0.0,141056.0,146462.0,1.0
gamma_vec[2],0.144,0.01,0.126,0.163,0.0,0.0,138915.0,135028.0,1.0
gamma_vec[3],0.144,0.013,0.119,0.169,0.0,0.0,142401.0,141397.0,1.0
gamma_vec[4],0.011,0.001,0.008,0.013,0.0,0.0,133432.0,106511.0,1.0
gamma_vec[5],0.009,0.002,0.006,0.013,0.0,0.0,115902.0,94225.0,1.0
gamma_vec[6],0.011,0.017,0.002,0.018,0.0,0.0,126989.0,137314.0,1.0
gamma_vec_scaled[0],2.302,0.053,2.2,2.399,0.0,0.0,143205.0,141784.0,1.0
gamma_vec_scaled[1],14.665,0.703,13.324,15.967,0.002,0.001,141056.0,146462.0,1.0
gamma_vec_scaled[2],14.426,0.985,12.569,16.274,0.003,0.002,138915.0,135028.0,1.0
gamma_vec_scaled[3],14.408,1.331,11.945,16.931,0.004,0.003,142401.0,141397.0,1.0
gamma_vec_scaled[4],1.078,0.142,0.828,1.35,0.0,0.0,133432.0,106511.0,1.0
gamma_vec_scaled[5],0.906,0.195,0.571,1.287,0.001,0.001,119864.0,94225.0,1.0
gamma_vec_scaled[6],1.106,1.658,0.5,1.702,0.006,0.03,129859.0,135930.0,1.0
gamma_1_scaled,2.302,0.053,2.2,2.399,0.0,0.0,143205.0,141784.0,1.0
gamma_2_scaled,14.665,0.703,13.324,15.967,0.002,0.001,141056.0,146462.0,1.0
gamma_3_scaled,14.426,0.985,12.569,16.274,0.003,0.002,138915.0,135028.0,1.0
gamma_4_scaled,14.408,1.331,11.945,16.931,0.004,0.003,142401.0,141397.0,1.0
gamma_5_scaled,1.078,0.142,0.828,1.35,0.0,0.0,133432.0,106511.0,1.0
gamma_6_scaled,0.906,0.195,0.571,1.287,0.001,0.001,119864.0,94225.0,1.0
gamma_7_scaled,1.106,1.658,0.5,1.702,0.006,0.03,129859.0,135930.0,1.0
gamma_mean_scaled,5.405,1.096,3.425,7.442,0.003,0.002,116533.0,122461.0,1.0
gamma_std_scaled,89.857,9.811,71.728,108.202,0.157,0.031,3775.0,8871.0,1.01
