label,B,T,pop_ground,pop_1st_excited,energy_gap_meV,chi_max,chi_mean,rmse,status,warnings
4K,9.0,4.0,1.0,1.8928061124987266e-66,52.163322633103434,1.1740128828483751,0.19212263178504674,0.11181143702665038,⚠️ 問題あり,基底状態支配的(>95%); B-form数値不安定(|χ|>1)
10K,9.0,10.0,1.0,5.1385720687129204e-27,52.163322633103434,0.8232498221371841,0.13932060389879888,0.10539540586027572,⚠️ 問題あり,基底状態支配的(>95%)
20K,9.0,20.0,0.9999999999999283,7.168383408211495e-14,52.163322633103434,0.7223834239124147,0.1044871692816694,0.10086736056267245,⚠️ 問題あり,基底状態支配的(>95%)
30K,9.0,30.0,0.9999999982743708,1.7256292087724304e-09,52.163322633103434,0.6465222225387703,0.08465878620427694,0.1103702788642609,⚠️ 問題あり,基底状態支配的(>95%)
4.2T,4.2,1.5,1.0,1.628748592975192e-82,24.342781449519713,0.6972341924210974,0.06876537834704902,0.15586720012126123,⚠️ 問題あり,基底状態支配的(>95%); フィット失敗(RMSE=0.156)
5.0T,5.0,1.5,,0.0,28.979537937447294,1.1927087779392862,0.10033280174751798,0.14432479639566653,⚠️ 問題あり,B-form数値不安定(|χ|>1)
6.0T,6.0,1.5,,0.0,34.77548386460932,1.256909043384135,0.14384952133714793,0.12506946815277079,⚠️ 問題あり,B-form数値不安定(|χ|>1)
7.0T,7.0,1.5,,,40.57143000327302,1.2623375739656426,0.17170282778097523,0.10816035870924867,⚠️ 問題あり,B-form数値不安定(|χ|>1)
8.0T,8.0,1.5,,,46.36737627412533,1.2683296267225526,0.2177282993760962,0.11599857877761902,⚠️ 問題あり,B-form数値不安定(|χ|>1)
9.0T,9.0,1.5,,,52.163322633103434,1.2689736107226244,0.22670049058442449,0.12016147631932866,⚠️ 問題あり,B-form数値不安定(|χ|>1)
