label,B,T,rmse,max_error,r_squared,chi_max,chi_mean,unstable_%
4K,9.0,4.0,0.11181143702665038,0.25731105928459863,0.7437487624228571,1.1740128828483751,0.19212263178504674,4.597701149425287
10K,9.0,10.0,0.10539540586027572,0.2456171509769188,0.7764185362402887,0.8232498221371841,0.13932060389879888,0.0
20K,9.0,20.0,0.10086736056267245,0.23076572351312657,0.7547967611218261,0.7223834239124147,0.1044871692816694,0.0
30K,9.0,30.0,0.1103702788642609,0.2536494333423135,0.6949925032059534,0.6465222225387703,0.08465878620427694,0.0
4.2T,4.2,1.5,0.15586720012126123,0.34019479203708003,0.49250423385599007,0.6972341924210974,0.06876537834704902,0.0
5.0T,5.0,1.5,0.14432479639566653,0.31986159706774847,0.5483651041704942,1.1927087779392862,0.10033280174751798,1.7241379310344827
6.0T,6.0,1.5,0.12506946815277079,0.24393632877785631,0.6944824833568635,1.256909043384135,0.14384952133714793,5.747126436781609
7.0T,7.0,1.5,0.10816035870924867,0.21217635230027598,0.7642489151800904,1.2623375739656426,0.17170282778097523,5.747126436781609
8.0T,8.0,1.5,0.11599857877761902,0.3311412678404233,0.7640712847491498,1.2683296267225526,0.2177282993760962,5.747126436781609
9.0T,9.0,1.5,0.12016147631932866,0.33671896292230974,0.7272123273656272,1.2689736107226244,0.22670049058442449,5.747126436781609
